"year","category","catval","percentile","wealth","ss","income"
2015,"age","1",1,-981.17,0,356.02
2015,"age","1",2,-981.17,0,2449.3
2015,"age","1",3,-981.17,0,4963.99
2015,"age","1",4,-856.68,0,6537.74
2015,"age","1",5,-475.19,0,7502.22
2015,"age","1",6,-82.72,0,8364.43
2015,"age","1",7,188.6,0,9004.48
2015,"age","1",8,525.09,0,9741.58
2015,"age","1",9,895.09,0,10340.7
2015,"age","1",10,1293.38,0,10978.66
2015,"age","1",11,1670.61,0,11680.29
2015,"age","1",12,2024.91,0,12514.64
2015,"age","1",13,2480.83,0,13330.15
2015,"age","1",14,2944.19,0,13948.71
2015,"age","1",15,3346.11,0,14636.14
2015,"age","1",16,3724.21,0,15442.35
2015,"age","1",17,4164.55,0,16033.99
2015,"age","1",18,4690.88,0,16763.64
2015,"age","1",19,5242.62,0,17468.49
2015,"age","1",20,5751.13,0,18149.46
2015,"age","1",21,6275.56,0,18939.99
2015,"age","1",22,6995.2,0,19586.46
2015,"age","1",23,7596.54,0,20347.13
2015,"age","1",24,8142.85,0,21015.48
2015,"age","1",25,8685.44,0,21647.45
2015,"age","1",26,9325.77,536.63,22352.04
2015,"age","1",27,9948.76,1432.92,23110.86
2015,"age","1",28,10511.64,2078.01,23820.33
2015,"age","1",29,11261.5,2516.22,24601.12
2015,"age","1",30,12098.57,3173.4,25318.17
2015,"age","1",31,12796.28,3664.8,26102.95
2015,"age","1",32,13863.78,4071.15,26875.64
2015,"age","1",33,14842.37,4475.38,27773.16
2015,"age","1",34,15769.73,4717.42,28562.09
2015,"age","1",35,16745.63,5009.69,29293.84
2015,"age","1",36,18006.6,5296.06,30159.15
2015,"age","1",37,19023.95,5591.75,30949.24
2015,"age","1",38,20033.03,5866.56,31616.2
2015,"age","1",39,21137.3,6122.4,32249
2015,"age","1",40,22940.39,6433.43,32963.77
2015,"age","1",41,24473.95,6737.38,33720.8
2015,"age","1",42,25848.86,7002,34536.8
2015,"age","1",43,27608.42,7284,35453.25
2015,"age","1",44,28976.01,7553.02,36262.52
2015,"age","1",45,30362.5,7884.81,37077.49
2015,"age","1",46,32193.98,8127.38,37837.05
2015,"age","1",47,33760.46,8417.3,38624.57
2015,"age","1",48,35295.9,8674.8,39594.5
2015,"age","1",49,37272.62,8962.89,40460.84
2015,"age","1",50,39035.49,9259.2,41418.3
2015,"age","1",51,41333.75,9574.2,42259.88
2015,"age","1",52,43832.16,9815.72,43217.14
2015,"age","1",53,46043.56,10049.89,44019.71
2015,"age","1",54,48341.3,10276.81,44943.35
2015,"age","1",55,50647.14,10522.66,45881.76
2015,"age","1",56,53506.76,10717.98,47208.55
2015,"age","1",57,56395.13,10978.59,48094.38
2015,"age","1",58,59092.06,11210.15,49152.31
2015,"age","1",59,62088.15,11459.4,50113.4
2015,"age","1",60,65155.89,11660.4,51242.33
2015,"age","1",61,67819.24,11913.67,52216.26
2015,"age","1",62,70655.93,12116.91,53394.67
2015,"age","1",63,74380.69,12350.66,55012.19
2015,"age","1",64,78102.89,12580.2,56259.95
2015,"age","1",65,81850.43,12820.8,57712.58
2015,"age","1",66,86947.27,13038.46,59058.08
2015,"age","1",67,91295.2,13237.33,60460.49
2015,"age","1",68,96508.86,13498.76,61764.98
2015,"age","1",69,101567.18,13769.08,63167.94
2015,"age","1",70,108332.03,14041.93,64501.4
2015,"age","1",71,115593.8,14299.04,66321.82
2015,"age","1",72,125669.79,14575.85,68089.74
2015,"age","1",73,138927.71,14881.43,69916.8
2015,"age","1",74,152430.44,15202.88,71705.87
2015,"age","1",75,162785.82,15459.07,73467.04
2015,"age","1",76,174633.2,15771.93,75328.99
2015,"age","1",77,188467.78,16082.55,77464.35
2015,"age","1",78,207985.34,16394.85,79514.34
2015,"age","1",79,223874,16652.29,82079.82
2015,"age","1",80,244120.84,17005.04,84477.97
2015,"age","1",81,267069.93,17276.25,86777.92
2015,"age","1",82,304926.95,17604.25,89353.54
2015,"age","1",83,335018.17,18006.55,92416.23
2015,"age","1",84,359075.42,18356.3,95386.14
2015,"age","1",85,390016.56,18656.84,98566.74
2015,"age","1",86,415062.41,18993.51,101877.2
2015,"age","1",87,450940.43,19372.8,105722.81
2015,"age","1",88,500246.87,19710.8,110017.7
2015,"age","1",89,561748.36,20089.02,114284.28
2015,"age","1",90,659592.88,20469.15,120433.23
2015,"age","1",91,734895.94,21072.32,125519.87
2015,"age","1",92,816720.81,21562.8,132128.96
2015,"age","1",93,918376.65,22053.24,139079.72
